phrase,class
A key aspect of X is   ,Establishing the importance of the topic for the discipline 
X is of interest because   ,Establishing the importance of the topic for the discipline 
X is a classic problem in   ,Establishing the importance of the topic for the discipline 
A primary concern of X is   ,Establishing the importance of the topic for the discipline 
X is a dominant feature of   ,Establishing the importance of the topic for the discipline 
X is a fundamental property of   ,Establishing the importance of the topic for the discipline 
The concepts of X and Y are central to   ,Establishing the importance of the topic for the discipline 
X is at the heart of our understanding of   ,Establishing the importance of the topic for the discipline 
Investigating X is a continuing concern within   ,Establishing the importance of the topic for the discipline 
X is a major area of interest within the field of   ,Establishing the importance of the topic for the discipline 
X has been studied by many researchers using    ,Establishing the importance of the topic for the discipline 
X has been an object of research since the 1960s. ,Establishing the importance of the topic for the discipline 
X has been the subject of many classic studies in   ,Establishing the importance of the topic for the discipline 
X has been instrumental in our understanding of   ,Establishing the importance of the topic for the discipline 
The theory of X provides a useful account of how   ,Establishing the importance of the topic for the discipline 
X has been an important concept in the study of the   ,Establishing the importance of the topic for the discipline 
Central to the entire discipline of X is the concept of   ,Establishing the importance of the topic for the discipline 
X is an increasingly important area in applied linguistics. ,Establishing the importance of the topic for the discipline 
X has been the subject of much systematic investigation.  ,Establishing the importance of the topic for the discipline 
The issue of X has received considerable critical attention.,Establishing the importance of the topic for the discipline 
Understanding the complexity of an X is vitally important if   ,Establishing the importance of the topic for the discipline 
X has long been a question of great interest in a wide range of fields. ,Establishing the importance of the topic for the discipline 
One of the most significant current discussions in legal and moral philosophy is   ,Establishing the importance of the topic for the discipline 
The discovery of X in 1986 triggered a huge amount of innovative scientific inquiry. ,Establishing the importance of the topic for the discipline 
The role of X in Y has received increased attention across a number of disciplines in recent years. ,Establishing the importance of the topic for the discipline 
X is fundamental to   ,Establishing the importance of the topic for the world or society 
X has a pivotal role in   ,Establishing the importance of the topic for the world or society 
X is an important aspect of   ,Establishing the importance of the topic for the world or society 
X is frequently prescribed for   ,Establishing the importance of the topic for the world or society 
X is fast becoming a key instrument in  ,Establishing the importance of the topic for the world or society 
X plays a vital role in the metabolism of   ,Establishing the importance of the topic for the world or society 
X is the most widely distributed species of   ,Establishing the importance of the topic for the world or society 
X plays a critical role in the maintenance of   ,Establishing the importance of the topic for the world or society 
Xs have emerged as powerful platforms for   ,Establishing the importance of the topic for the world or society 
X is essential for a wide range of technologies.  ,Establishing the importance of the topic for the world or society 
X can play an important role in addressing the issue of   ,Establishing the importance of the topic for the world or society 
Xs are the most potent anti inflammatory agents known. ,Establishing the importance of the topic for the world or society 
There is evidence that X plays a crucial role in regulating   ,Establishing the importance of the topic for the world or society 
X is a common condition which has considerable impact on   ,Establishing the importance of the topic for the world or society 
"In the new global economy, X has become a central issue for  ",Establishing the importance of the topic for the world or society 
Determining the impacts of X on Y is important for the future of   ,Establishing the importance of the topic for the world or society 
Evidence suggests that X is among the most important factors for   ,Establishing the importance of the topic for the world or society 
X is important for a wide range of scientific and industrial processes. ,Establishing the importance of the topic for the world or society 
Xs are one of the most widely used groups of antibacterial agents and   ,Establishing the importance of the topic for the world or society 
There is a growing body of literature that recognises the importance of   ,Establishing the importance of the topic for the world or society 
"X is an important component in the climate system, and plays a key role in Y. ",Establishing the importance of the topic for the world or society 
Xs were the most serious and widespread popular disturbances to occur in   ,Establishing the importance of the topic for the world or society 
